Date,Forecast
2022-12-29,157.16789606101068
2022-12-30,157.15651698626522
2022-12-31,156.88933248359461
2023-01-01,157.00672084722052
2023-01-02,157.76026110824805
2023-01-03,157.79425871127606
2023-01-04,157.87662969036302
2023-01-05,157.86527200746102
2023-01-06,157.74424107441757
2023-01-07,157.36096283068426
2023-01-08,157.3586137156732
2023-01-09,157.9917110915673
2023-01-10,157.90756086752165
2023-01-11,157.87706082693325
2023-01-12,157.76099051244606
2023-01-13,157.54610691838826
2023-01-14,157.08228156691658
2023-01-15,157.01481042518765
2023-01-16,157.59994219281077
2023-01-17,157.4862734835572
2023-01-18,157.44551092525165
2023-01-19,157.33873226067624
2023-01-20,157.1524665974105
2023-01-21,156.73582992475673
2023-01-22,156.7328475235972
2023-01-23,157.39800858707977
2023-01-24,157.3777009886092
2023-01-25,157.44102527181448
2023-01-26,157.44611865844092
2023-01-27,157.37630763136582
