Date,Forecast
2024-12-30,251.56671957500794
2024-12-31,251.8707912321864
2025-01-01,252.0128439308111
2025-01-02,251.9585303034842
2025-01-03,252.17077445246002
2025-01-06,252.22018779745804
2025-01-07,252.2090816359366
2025-01-08,252.24951256422918
2025-01-09,252.48902226229646
2025-01-10,252.43793989336984
2025-01-13,252.51736700432647
2025-01-14,252.6254205374383
2025-01-15,252.78568973440278
2025-01-16,253.0336827530755
2025-01-17,253.14413540187505
2025-01-20,253.07195302878782
2025-01-21,253.2733992437134
2025-01-22,253.31712593833154
2025-01-23,253.30313220260481
2025-01-24,253.34174533344523
2025-01-27,253.58042995253942
2025-01-28,253.5288187181742
2025-01-29,253.60757891234041
2025-01-30,253.71511587965307
2025-01-31,253.87528252468286
2025-02-03,254.12321728678913
2025-02-04,254.23363681401662
2025-02-05,254.16143561561128
2025-02-06,254.3628711945169
2025-02-07,254.40659180528112
