Date,Forecast
2024-12-30,251.39338385910975
2024-12-31,251.4396633611062
2025-01-01,251.46471143304257
2025-01-02,251.47826831850296
2025-01-03,251.4856057752083
2025-01-06,251.4895770613168
2025-01-07,251.49172645912432
2025-01-08,251.4928897877813
2025-01-09,251.49351942160683
2025-01-10,251.49386020127548
2025-01-13,251.49404464305394
2025-01-14,251.4941444693428
2025-01-15,251.49419849879337
2025-01-16,251.49422774140632
2025-01-17,251.49424356852288
2025-01-20,251.4942521347074
2025-01-21,251.49425677102366
2025-01-22,251.49425928035885
2025-01-23,251.4942606384981
2025-01-24,251.49426137357017
2025-01-27,251.4942617714167
2025-01-28,251.49426198674502
2025-01-29,251.49426210328818
2025-01-30,251.4942621663654
2025-01-31,251.49426220050495
2025-02-03,251.49426221898247
2025-02-04,251.49426222898313
2025-02-05,251.49426223439585
2025-02-06,251.4942622373254
2025-02-07,251.49426223891095
